enrolment_count,demographic_update_count,biometric_update_count,total_updates,update_to_enrolment_ratio
392,1724,1847,3571,9.10969387755102
1527,5921,5428,11349,7.432220039292731
416,1627,1325,2952,7.096153846153846
159,520,550,1070,6.729559748427673
65663,207740,172065,379805,5.784155460457183
10346,28037,30385,58422,5.646820027063599
1601,4726,4244,8970,5.602748282323548
1010,3219,2400,5619,5.563366336633663
1859,4886,4918,9804,5.273803119956966
304,865,733,1598,5.256578947368421
39145,105515,98511,204026,5.212057734065653
1481,3840,3349,7189,4.854152599594868
20439,49611,48108,97719,4.781006898576251
3729,8845,8493,17338,4.6495038884419415
10007,23070,22601,45671,4.56390526631358
47011,105935,99674,205609,4.373635957541852
859,2044,1656,3700,4.307334109429569
3218,7289,6555,13844,4.302050963331261
70198,153957,141227,295184,4.205020086042337
92552,196857,184569,381426,4.1212075373843895
77191,162242,151104,313346,4.059359251726238
42774,89086,82579,171665,4.013302473465189
46624,96399,89531,185930,3.987860329444063
1999,4035,3826,7861,3.9324662331165583
76561,169070,130895,299965,3.9179869646425725
18550,35726,31992,67718,3.650566037735849
11455,20601,19960,40561,3.5408991706678306
31827,62834,47643,110477,3.471172275112326
15997,28554,26429,54983,3.4370819528661625
23218,39653,36625,76278,3.2852958911189596
56159,89508,79724,169232,3.0134439715806907
60567,97621,83398,181019,2.9887397427642117
110369,167889,155242,323131,2.927733330917196
50225,76364,70080,146444,2.9157590841214533
6804,10510,9259,19769,2.905496766607878
3771,5363,4178,9541,2.530098117210289
